SecurityCode	SecurityName	LatestPrice	PriceChangeRate	HolderNum	PreviousHolderNum	HolderNumChange	HolderNumChangeRate	RangeChangeRate	EndDate	PreviousEndDate	HolderAvgCapitalisation	HolderAvgStockQuantity	TotalCapitalisation	CapitalStock	NoticeDate
600145	*ST新亿	0	0	32913	32779	134	0.4088	0	2017-12-31T00:00:00	2017-09-30T00:00:00	84719.0383921247	45304.3	2788357710.6	1491100380	2018-04-28T00:00:00
601006	大秦铁路	8.72	1.87	149473	151119	-1646	-1.0892	3.66	2017-12-31T00:00:00	2017-09-30T00:00:00	902114.755329524	99461.38	134841798823.37	14866791491	2018-04-28T00:00:00
600348	阳泉煤业	6.83	-0.73	102524	101700	824	0.8102	-9.56	2017-12-31T00:00:00	2017-09-30T00:00:00	173119.464710702	23457.92	17748900000	2405000000	2018-04-28T00:00:00
600393	粤泰股份	0	0	24695	28860	-4165	-14.4317	-8.12	2017-12-31T00:00:00	2017-09-30T00:00:00	651136.322972262	102702.89	16079811495.8	2536247870	2018-04-28T00:00:00
600960	渤海活塞	6.79	-1.59	36846	36846	0	0	0	2017-12-31T00:00:00	2017-12-06T00:00:00	190123.741183846	25796.98	7005299367.66	950515518	2018-04-28T00:00:00
000627	天茂集团	7.63	0.13	107241	107200	41	0.0382	0	2017-12-31T00:00:00	2017-12-29T00:00:00	368562.707546554	46070.34	39525033320	4940629165	2018-04-28T00:00:00
603603	博天环境	0	0	23545	23629	-84	-0.3555	-28.7	2017-12-31T00:00:00	2017-09-30T00:00:00	593091.913357401	16989.17	13964349100	400010000	2018-04-28T00:00:00
603861	白云电器	13.68	-0.07	25127	29284	-4157	-14.1955	-21.98	2017-12-31T00:00:00	2017-09-30T00:00:00	273362.876586938	16281.29	6868789000	409100000	2018-04-28T00:00:00
000893	*ST东凌	5.17	-4.96	19061	24041	-4980	-20.7146	4.17	2017-12-31T00:00:00	2017-09-30T00:00:00	377240.495461938	39709.53	7190581084	756903272	2018-04-28T00:00:00
600640	号百控股	12.59	1.86	27698	29966	-2268	-7.5686	-21.36	2017-12-31T00:00:00	2017-09-30T00:00:00	419996.918290129	28727.56	11633074642.8	795695940	2018-04-28T00:00:00
600177	雅戈尔	8.15	-0.61	145203	147606	-2403	-1.628	-6.43	2017-12-31T00:00:00	2017-09-30T00:00:00	226179.019903239	24665.11	32841872227.01	3581447353	2018-04-28T00:00:00
600988	赤峰黄金	6.04	2.03	106208	85647	20561	24.0067	-5.3	2017-12-31T00:00:00	2017-09-30T00:00:00	86489.6884814703	13430.08	9185896834.24	1426381496	2018-04-28T00:00:00
600429	三元股份	5.61	0.72	29817	32773	-2956	-9.0196	-7.5	2017-12-31T00:00:00	2017-09-30T00:00:00	321941.949245732	50224.95	9599343100.66	1497557426	2018-04-28T00:00:00
600983	惠而浦	5.89	-7.97	24880	27318	-2438	-8.9245	-16.18	2017-12-31T00:00:00	2017-09-30T00:00:00	221799.067524116	30805.43	5518360800	766439000	2018-04-28T00:00:00
600900	长江电力	16.09	0.69	109667	104739	4928	4.705	3.45	2017-12-31T00:00:00	2017-09-30T00:00:00	3127467.69766657	200607.29	342980000000	22000000000	2018-04-28T00:00:00
000692	惠天热电	3.97	-0.75	40549	40453	96	0.2373	-23.33	2017-12-31T00:00:00	2017-09-30T00:00:00	69513.093862734	13140.47	2818686443.04	532832976	2018-04-28T00:00:00
601700	风范股份	4.47	0.68	62949	71668	-8719	-12.1658	7.77	2017-12-31T00:00:00	2017-09-30T00:00:00	144739.158366297	18002.38	9111185280	1133232000	2018-04-28T00:00:00
000009	中国宝安	5.86	0.51	184893	184893	0	0	0	2017-12-31T00:00:00	2017-12-29T00:00:00	84047.3362449092	11624.8	15539764140.33	2149344971	2018-04-28T00:00:00
600421	ST仰帆	6.96	0	11104	11462	-358	-3.1234	-21.06	2017-12-31T00:00:00	2017-09-30T00:00:00	205394.09221902	17615.27	2280696000	195600000	2018-04-28T00:00:00
002506	协鑫集成	0	0	174760	179595	-4835	-2.6922	-1.39	2017-12-31T00:00:00	2017-09-30T00:00:00	123301.258869306	28876.17	21548128000	5046400000	2018-04-28T00:00:00
600088	中视传媒	13.51	-0.73	22650	22060	590	2.6745	-20.76	2017-12-31T00:00:00	2017-09-30T00:00:00	193292.919205298	14632.32	4378084620	331422000	2018-04-28T00:00:00
603858	步长制药	48.75	0.18	58977	50939	8038	15.7797	-24.94	2017-12-31T00:00:00	2017-09-30T00:00:00	587963.918137579	11560.44	34676348000	681800000	2018-04-28T00:00:00
002654	万润科技	7.15	-3.25	50021	50964	-943	-1.8503	-27.92	2017-12-31T00:00:00	2017-09-30T00:00:00	107236.15730993	16548.79	5364059824.8	827787010	2018-04-28T00:00:00
600000	浦发银行	10.83	-0.82	184640	192174	-7534	-3.9204	-2.18	2017-12-31T00:00:00	2017-09-30T00:00:00	2001422.7263769	158969.24	369542692198.23	29352080397	2018-04-28T00:00:00
002640	跨境通	20.19	-0.93	21254	20053	1201	5.9891	-4.82	2017-12-31T00:00:00	2017-12-15T00:00:00	1292369.08351087	67521.9	27468012500.94	1435110371	2018-04-28T00:00:00
600546	山煤国际	0	0	64129	66023	-1894	-2.8687	-11.75	2017-12-31T00:00:00	2017-09-30T00:00:00	150858.207101311	30913.57	9674385963.2	1982456140	2018-04-28T00:00:00
000835	长城动漫	6.79	-1.45	45597	46667	-1070	-2.2928	0	2017-12-31T00:00:00	2017-12-29T00:00:00	59336.7084834529	7166.27	2705575896.72	326760374	2018-04-28T00:00:00
600568	中珠医疗	0	0	19833	20882	-1049	-5.0235	9.75	2017-12-31T00:00:00	2017-09-30T00:00:00	780749.126272879	100482.51	15484597421.37	1992869681	2018-04-28T00:00:00
603009	北特科技	12.82	-1.31	20934	23827	-2893	-12.1417	-22.78	2017-12-31T00:00:00	2017-09-30T00:00:00	162556.409210375	15675.64	3402955870.41	328153893	2018-04-28T00:00:00
600936	广西广电	5.73	-1.04	77065	80928	-3863	-4.7734	-11.6	2017-12-31T00:00:00	2017-09-30T00:00:00	148747.680523454	21683.34	11463239999.54	1671026239	2018-04-28T00:00:00
002785	万里石	10.75	-1.01	35986	38982	-2996	-7.6856	-25.01	2017-12-31T00:00:00	2017-09-30T00:00:00	74473.4063246818	5557.72	2680000000	200000000	2018-04-28T00:00:00
600186	莲花健康	2.22	0.91	78662	79333	-671	-0.8458	-24.26	2017-12-31T00:00:00	2017-09-30T00:00:00	41313.3964513997	13501.11	3249794391.66	1062024311	2018-04-28T00:00:00
603177	德创环保	16.13	-1.29	30416	25536	4880	19.1103	16.14	2017-12-31T00:00:00	2017-09-30T00:00:00	138137.822198843	6641.24	4201600000	202000000	2018-04-28T00:00:00
601928	凤凰传媒	6.97	0.87	68062	69443	-1381	-1.9887	-12.32	2017-12-31T00:00:00	2017-09-30T00:00:00	303240.266227851	37390.91	20639139000	2544900000	2018-04-28T00:00:00
002513	蓝丰生化	8.7	-1.14	15152	15152	0	0	0	2017-12-31T00:00:00	2017-12-29T00:00:00	225123.110370908	22444.98	3411065368.34	340086278	2018-04-28T00:00:00
600257	大湖股份	0	0	36585	36585	0	0	0	2017-12-31T00:00:00	2017-09-30T00:00:00	97339.2152849529	13153.95	3561155191.2	481237188	2018-04-28T00:00:00
600339	中油工程	3.72	1.09	53485	53290	195	0.3659	-16.06	2017-12-31T00:00:00	2017-09-30T00:00:00	605445.55168365	104387.16	32382255331.8	5583147471	2018-04-28T00:00:00
603998	方盛制药	8.75	0.11	15837	14736	1101	7.4715	-27.01	2017-12-31T00:00:00	2017-09-30T00:00:00	304488.166906611	27210.74	4822179099.3	430936470	2018-04-28T00:00:00
600666	奥瑞德	15.66	-10	72278	72272	6	0.0083	0	2017-12-31T00:00:00	2017-09-30T00:00:00	295463.025761643	16980.63	21355476576	1227326240	2018-04-28T00:00:00
603616	韩建河山	15.4	0	41211	45202	-3991	-8.8293	-31.21	2017-12-31T00:00:00	2017-09-30T00:00:00	109339.972337483	7118.49	4506009600	293360000	2018-04-28T00:00:00
600485	信威集团	0	0	155342	155304	38	0.0245	0	2017-12-31T00:00:00	2017-09-30T00:00:00	274603.180011716	18821.33	42657407189.38	2923742782	2018-04-28T00:00:00
000564	供销大集	0	0	62036	52585	9451	17.9728	-25.31	2017-12-31T00:00:00	2017-09-30T00:00:00	462915.386939519	96844.22	28717418944.18	6007828231	2018-04-28T00:00:00
000004	国农科技	20.49	0.59	12191	12388	-197	-1.5902	-7.02	2017-12-31T00:00:00	2017-09-30T00:00:00	154162.758421787	6888.42	1879398187.92	83976684	2018-04-28T00:00:00
002366	台海核电	0	0	23574	23996	-422	-1.7586	-0.68	2017-12-31T00:00:00	2017-11-30T00:00:00	972837.316853313	36780.24	22933666907.5	867057350	2018-04-28T00:00:00
002564	天沃科技	7.79	-1.89	53404	51177	2227	4.3516	-16.24	2017-12-31T00:00:00	2017-09-30T00:00:00	112973.717324545	13777.28	6033248400	735762000	2018-04-28T00:00:00
600854	春兰股份	4.7	-1.05	37475	37475	0	0	0	2017-12-31T00:00:00	2017-12-29T00:00:00	77346.9951178119	13861.47	2898578642.04	519458538	2018-04-28T00:00:00
600653	申华控股	2.27	1.34	191343	196668	-5325	-2.7076	-19.76	2017-12-31T00:00:00	2017-09-30T00:00:00	27261.5107401891	10172.21	5216299249.56	1946380317	2018-04-28T00:00:00
600651	飞乐音响	5.72	-1.55	66313	67087	-774	-1.1537	-2.03	2017-12-31T00:00:00	2017-09-30T00:00:00	136820.740912792	14953.09	9072993792.15	991584021	2018-04-28T00:00:00
300049	福瑞股份	0	0	18765	18724	41	0.219	0.98	2017-12-31T00:00:00	2017-11-30T00:00:00	187144.091926459	14018.28	3511758885	263053100	2018-04-28T00:00:00
000933	神火股份	6.61	-1.93	134686	134700	-14	-0.0104	0	2017-12-31T00:00:00	2017-12-29T00:00:00	143222.569532097	14110.6	19290075000	1900500000	2018-04-28T00:00:00
000701	厦门信达	8.35	0	44351	48637	-4286	-8.8122	-21.04	2017-12-31T00:00:00	2017-09-30T00:00:00	91864.0576564226	9168.07	4074262821.12	406613056	2018-04-28T00:00:00
000995	*ST皇台	6.76	0.45	9727	9727	0	0	0	2017-12-31T00:00:00	2017-09-30T00:00:00	260448.878379768	18238.72	2533386240	177408000	2018-04-28T00:00:00
600671	天目药业	18.57	1.75	8366	9422	-1056	-11.2078	-10.93	2017-12-31T00:00:00	2017-09-30T00:00:00	367840.356675831	14556.41	3077352423.95	121778885	2018-04-28T00:00:00
300323	华灿光电	18.51	0.71	22184	22184	0	0	0	2017-12-31T00:00:00	2017-12-29T00:00:00	618885.322944465	37968.42	13729352004.2	842291534	2018-04-28T00:00:00
000638	万方发展	8.08	-0.12	49853	49852	1	0.002	0	2017-12-31T00:00:00	2017-09-30T00:00:00	69137.5844984254	6206.25	3446716000	309400000	2018-04-28T00:00:00
601888	中国国旅	58.04	-0.39	27686	28190	-504	-1.7879	25.8	2017-12-31T00:00:00	2017-09-30T00:00:00	3059954.99003684	70522.12	84717913854.16	1952475544	2018-04-28T00:00:00
600759	洲际油气	0	0	73238	71377	1861	2.6073	-22.97	2017-12-31T00:00:00	2017-09-30T00:00:00	131660.36793304	30906.19	9642542026.68	2263507518	2018-04-28T00:00:00
603015	弘讯科技	8.21	-3.64	26574	27640	-1066	-3.8567	-20.77	2017-12-31T00:00:00	2017-09-30T00:00:00	128753.07067058	15273.2	3421484100	405870000	2018-04-28T00:00:00
600642	申能股份	5.51	-0.36	169639	170646	-1007	-0.5901	-1.68	2017-12-31T00:00:00	2017-09-30T00:00:00	157245.353555256	26833.68	26674944531.76	4552038316	2018-04-28T00:00:00
000599	青岛双星	5.92	-1	67157	72344	-5187	-7.1699	-6.1	2017-12-31T00:00:00	2017-09-30T00:00:00	63382.712372947	10044.8	4256592814.83	674578893	2018-04-28T00:00:00
002124	天邦股份	8.66	-0.23	35778	41503	-5725	-13.7942	-12.05	2017-12-31T00:00:00	2017-09-30T00:00:00	179777.25193359	21607.84	6432070519.68	773085399	2018-04-28T00:00:00
000917	电广传媒	6.65	-0.45	115489	110475	5014	4.5386	-14.12	2017-12-31T00:00:00	2017-09-30T00:00:00	111205.919371369	12274.38	12843060422.28	1417556338	2018-04-28T00:00:00
002291	星期六	5.78	0	30609	33784	-3175	-9.3979	-30.7	2017-12-31T00:00:00	2017-09-30T00:00:00	91490.4669508968	13032.83	2800431702.9	398921895	2018-04-28T00:00:00
002446	盛路通信	9.22	1.43	38786	38685	101	0.2611	-26.49	2017-12-31T00:00:00	2017-09-30T00:00:00	201796.327803847	19649.11	7826872370.2	762110260	2018-04-28T00:00:00
002552	*ST宝鼎	6.22	-5.04	19037	19037	0	0	0	2017-12-31T00:00:00	2017-12-29T00:00:00	152818.574933025	16086.17	2909207211	306232338	2018-04-28T00:00:00
600891	秋林集团	6.14	0.33	36057	38399	-2342	-6.0991	-6.85	2017-12-31T00:00:00	2017-09-30T00:00:00	130515.678477411	17128.04	4706003818.86	617585803	2018-04-28T00:00:00
600390	五矿资本	9.6	0	37219	43851	-6632	-15.1239	-14.55	2017-12-31T00:00:00	2017-09-30T00:00:00	1188397.7809076	100711.68	44230977007.6	3748387882	2018-04-28T00:00:00
000626	远大控股	9.13	0.11	33637	33878	-241	-0.7114	-19.29	2017-12-31T00:00:00	2017-09-30T00:00:00	235453.070658501	17796.91	7919934937.74	598634538	2018-04-28T00:00:00
600807	*ST天业	0	0	92360	92357	3	0.0032	0	2017-12-31T00:00:00	2017-12-22T00:00:00	95876.9343580554	9578.12	8855193657.31	884634731	2018-04-28T00:00:00
000755	*ST三维	5.34	0.75	50761	50761	0	0	0	2017-12-31T00:00:00	2017-12-29T00:00:00	63048.1021890822	9244.59	3200384715.22	469264621	2018-04-28T00:00:00
300331	苏大维格	18.64	3.44	20888	21920	-1032	-4.708	-26.34	2017-12-31T00:00:00	2017-09-30T00:00:00	181916.938778725	10821.95	3799881017.21	226048841	2018-04-28T00:00:00
600622	光大嘉宝	12.27	0.41	20427	19685	742	3.7694	-9.15	2017-12-31T00:00:00	2017-09-30T00:00:00	780651.049181965	43441.91	15946358981.64	887387812	2018-04-28T00:00:00
000729	燕京啤酒	7.21	-1.37	67552	67552	0	0	0	2017-12-31T00:00:00	2017-12-29T00:00:00	281219.729369079	41724	18996955158.34	2818539341	2018-04-28T00:00:00
603358	华达科技	32.54	-0.15	20658	20800	-142	-0.6827	0	2017-12-31T00:00:00	2017-12-29T00:00:00	285719.817988189	7745.18	5902400000	160000000	2018-04-28T00:00:00
002600	领益智造	6.77	-0.73	125027	121784	3243	2.6629	-8.22	2017-12-31T00:00:00	2017-12-15T00:00:00	157618.170382237	18831.32	19706526988.38	2354423774	2018-04-28T00:00:00
000593	大通燃气	0	0	30582	23905	6677	27.9314	-24.77	2017-12-31T00:00:00	2017-09-30T00:00:00	105424.523278726	11726.87	3224092770.91	358631009	2018-04-28T00:00:00
